"","id","latitude","longitude","price","region","neigborhood"
"243",6939162,"42.31303259","-71.11202441",130,"02130","Jamaica Plain"
"244",13640138,"42.32152084","-71.10741009",29,"02130","Jamaica Hills / Pond"
"245",12593295,"42.30450198","-71.11147205",68,"02130","Jamaica Plain"
"246",10004575,"42.31968702","-71.11296925",300,"02130","Jamaica Plain"
"247",12855343,"42.31261825","-71.10620542",50,"02130","Jamaica Plain"
"248",9791506,"42.31246587","-71.10751981",119,"02130","Jamaica Plain"
"249",5801643,"42.29050284","-71.11642164",46,"02130","Jamaica Plain"
"250",12888054,"42.31642341","-71.10502709",295,"02130","Jamaica Plain"
"251",5676025,"42.32274731","-71.11033371",130,"02130","Jamaica Plain"
"252",6104388,"42.31277909","-71.10974082",180,"02130","Jamaica Plain"
"253",8283433,"42.31102328","-71.11899339",300,"02130","Jamaica Plain"
"254",14573919,"42.30354529","-71.10589216",200,"02130","Stonybrook"
"255",7495866,"42.31576896","-71.11289367",136,"02130","Jamaica Plain"
"256",13623390,"42.30401959","-71.10493709",100,"02130","Jamaica Plain"
"257",3629014,"42.31779833","-71.1040344",88,"02130","Jamaica Plain"
"258",10883063,"42.32411924","-71.10669945",95,"02130","Jamaica Plain"
"259",713627,"42.30957368","-71.10629241",135,"02130","Jamaica Plain"
"260",4105704,"42.3023644","-71.11490982",135,"02130","Jamaica Plain"
"261",3957602,"42.31167891","-71.10613378",75,"02130","Jamaica Plain"
"262",11739985,"42.3177898","-71.10489693",189,"02130","Jamaica Plain"
"263",5874408,"42.30509466","-71.11347198",75,"02130","Jamaica Plain"
"264",7693009,"42.30979784","-71.10174213",55,"02130","Jamaica Plain"
"265",3775876,"42.30514213","-71.10732686",125,"02130","Egleston Square"
"266",3693850,"42.29982378","-71.1125722",88,"02119","Jamaica Plain"
"267",4736217,"42.31408312","-71.09973817",72,"02130","Jamaica Plain"
"268",14428514,"42.30731115","-71.10339731",22,"02130","Jamaica Plain"
"269",3021862,"42.2909887","-71.1127371",90,"02130","Jamaica Plain"
"270",4348422,"42.31158243","-71.11170823",150,"02130","Jamaica Plain"
"271",973840,"42.30866054","-71.10156432",82,"02130","Jamaica Plain"
"272",9575439,"42.32137451","-71.1060596",84,"02130","Jamaica Plain"
"273",4430821,"42.30516878","-71.11290753",160,"02130","Jamaica Plain"
"274",9591772,"42.32002043","-71.10459796",110,"02130","Roslindale"
"275",3079305,"42.3069432","-71.11401575",150,"02130","Jamaica Plain"
"276",14474114,"42.29366808","-71.11789414",80,"02130","Jamaica Plain"
"277",7789429,"42.31881359","-71.10321897",225,"02130","Jamaica Plain"
"278",1203014,"42.30601751","-71.10953839",65,"02130","Jamaica Plain"
"279",957224,"42.31885965","-71.11451513",275,"02130","Jamaica Plain"
"280",4119345,"42.31161875","-71.10910186",300,"02130","Jamaica Plain"
"281",5495547,"42.30189019","-71.12908358",185,"02130","Jamaica Plain"
"282",12081834,"42.31947423","-71.10981262",175,"02130","Roslindale"
"283",14260905,"42.31187523","-71.10988286",175,"02131","Jamaica Plain"
"284",3988018,"42.29552807","-71.11929019",75,"02130","Jamaica Plain"
"285",728238,"42.30963229","-71.11621848",60,"02130","Jamaica Plain"
"286",12997241,"42.31321248","-71.10808728",100,"02130","Jamaica Plain"
"287",10074653,"42.32139007","-71.1088521",75,"02130","Jamaica Plain"
"288",4054079,"42.31653899","-71.1043184",94,"02130","Jamaica Plain"
"289",12849003,"42.3112337","-71.10343443",85,"02130","Jamaica Hills / Pond"
"290",8067585,"42.30512601","-71.11423328",83,"02130","Jamaica Plain"
"291",7723492,"42.31039502","-71.11838026",75,"02130","Roslindale"
"292",1956275,"42.30829329","-71.12399112",168,"02131","Jamaica Plain"
"293",1136972,"42.29444215","-71.11994538",60,"02130","Jamaica Plain"
"294",1071235,"42.31747806","-71.10819474",135,"02130","Jamaica Plain"
"295",4233242,"42.31299709","-71.10930512",119,"02130","Roslindale"
"296",14415125,"42.31633721","-71.10285592",275,"02131","Jamaica Plain"
"297",3905508,"42.28801846","-71.11367911",130,"02130","Jamaica Plain"
"298",1628130,"42.31171249","-71.11818369",750,"02130","Jamaica Plain"
"299",14566386,"42.31798894","-71.10988165",160,"02130","Jamaica Plain"
"300",9590679,"42.32443218","-71.10789033",65,"02130","Jamaica Plain"
"301",14469677,"42.31089358","-71.12243916",77,"02130","Jamaica Plain"
"302",447826,"42.31713375","-71.10965966",71,"02130","Jamaica Plain"
"303",12736777,"42.30469509","-71.10730425",200,"02130","Jamaica Hills / Pond"
"304",9459945,"42.3234374","-71.11397537",55,"02130","Jamaica Plain"
